,日期,新增用户数,1日后留存率(%),2日后留存率(%),3日后留存率(%),4日后留存率(%),5日后留存率(%),6日后留存率(%),7日后留存率(%),8日后留存率(%),9日后留存率(%),10日后留存率(%)
0,2022-12-21,642,22.585669781931465,13.084112149532709,11.059190031152648,10.12461059190031,8.566978193146417,7.165109034267912,6.5420560747663545,6.074766355140187,6.074766355140187,5.451713395638629
1,2022-12-22,932,46.78111587982833,39.377682403433475,36.1587982832618,34.871244635193136,35.30042918454936,20.386266094420602,19.84978540772532,20.493562231759658,20.386266094420602,
2,2022-12-23,607,26.523887973640857,14.991762767710048,11.696869851729819,10.378912685337728,8.5667215815486,7.742998352553541,7.907742998352553,7.0840197693574956,,
3,2022-12-24,612,23.202614379084967,17.81045751633987,11.76470588235294,7.8431372549019605,6.535947712418301,6.699346405228758,5.392156862745098,,,
4,2022-12-25,710,23.239436619718308,15.211267605633802,12.394366197183098,9.859154929577464,8.450704225352112,8.591549295774648,,,,
5,2022-12-26,818,22.6161369193154,14.66992665036675,21.149144254278728,16.13691931540342,15.647921760391197,,,,,
6,2022-12-27,1007,27.010923535253227,21.1519364448858,21.44985104270109,21.44985104270109,,,,,,
7,2022-12-28,704,28.267045454545453,10.227272727272728,8.380681818181818,,,,,,,
8,2022-12-29,1610,27.018633540372672,17.63975155279503,,,,,,,,
9,2022-12-30,1072,29.384328358208954,,,,,,,,,
